slug,id
apvv,ror:037nx0e70
av0,ror:053avzc18
azvcr,ror:05m8t8e28
dfg,ror:018mejw64
ec,ror:00k4n6c32
eea,ror:02k4b9v70
epsrc,ror:0439y7842
fwf,ror:013tf3c58
ga0,ror:01pv73b02
ga_uk,crossref:10.13039/100007543
linkoping_uni,ror:05ynxx418
msm,ror:037n8p820
muni,ror:02j46qs45
mv0,ror:05w1nn565
mz0,ror:00y6khe77
mze,ror:049wftm75
ncn,ror:03ha2q922
nih,ror:01cwqze88
snsf,ror:00yjd3n13
suj,ror:02dy2h219
ta0,ror:04v0fk911
upce_f,ror:01chzd453
vega,crossref:10.13039/501100006109
vr,ror:03zttf063
vut,ror:03613d656
